data-cultivo1-nombre,data-cultivo1-trabajo_comunal,data-cultivo1-obtuvo_producto,data-cultivo1-factores_no_cosecha-se_debio,data-cultivo1-factores_no_cosecha-otro_factor,data-cultivo1-factores_no_cosecha-factores_ambientales,data-cultivo1-factores_no_cosecha-otro_factor_ambiental,data-cultivo1-factores_no_cosecha-factores_manejo,data-cultivo1-factores_no_cosecha-otro_factor_manejo,data-cultivo1-fecha_cosecha-inicio,data-cultivo1-fecha_cosecha-termino,data-cultivo1-momento_cosecha,data-cultivo1-especifique_momento_cosecha,data-cultivo1-foto_cosecha,PARENT_KEY,KEY
Papa,cosecha,si, , , , , , ,15/05/21,16/05/21,madurez_comercial, , ,uuid:e3cfbf0d-f03e-4be1-a88f-c640d51a00df,uuid:e3cfbf0d-f03e-4be1-a88f-c640d51a00df/cultivo1[1]
Papa,cosecha,si, , , , , , ,15/07/21,18/07/21,madurez_comercial, , ,uuid:cf8423bb-cfbc-4458-b44a-f9b8f9f043a8,uuid:cf8423bb-cfbc-4458-b44a-f9b8f9f043a8/cultivo1[1]
Papa,cosecha,si, , , , , , ,15/07/21,17/07/21,madurez_fisiologica, , ,uuid:e979e200-8510-4111-9666-08559c36593b,uuid:e979e200-8510-4111-9666-08559c36593b/cultivo1[1]
Papa,"cosecha, siembra",si, , , , , , ,12/05/21,20/05/21,madurez_comercial, , ,uuid:3ec2d650-f425-425e-a304-4404fa3b49ff,uuid:3ec2d650-f425-425e-a304-4404fa3b49ff/cultivo1[1]
Papa,"cosecha, siembra",si, , , , , , ,15/04/21,20/04/21,madurez_comercial, , ,uuid:ab531cf2-31f6-4c21-a299-6fbcd2a89209,uuid:ab531cf2-31f6-4c21-a299-6fbcd2a89209/cultivo1[1]
Papa,cosecha,si, , , , , , ,20/07/21,22/07/21,madurez_comercial, , ,uuid:5276dd95-325d-4281-acb2-7e5bf933ac6f,uuid:5276dd95-325d-4281-acb2-7e5bf933ac6f/cultivo1[1]
Papa,cosecha,si, , , , , , ,10/07/21,28/07/21,madurez_fisiologica, , ,uuid:d007849e-036f-444e-905e-20988121201a,uuid:d007849e-036f-444e-905e-20988121201a/cultivo1[1]
Papa,cosecha,si, , , , , , ,05/04/21,20/04/21,madurez_fisiologica, , ,uuid:a3ea20e3-fa9b-4b39-883c-3a7fe223da84,uuid:a3ea20e3-fa9b-4b39-883c-3a7fe223da84/cultivo1[1]
Papa,cosecha,si, , , , , , ,08/07/21,08/07/21,madurez_fisiologica, , ,uuid:2caa9481-ad6b-4a3c-97de-e3c084b25c83,uuid:2caa9481-ad6b-4a3c-97de-e3c084b25c83/cultivo1[1]
Papa,cosecha,si, , , , , , ,03/06/21,05/06/21,madurez_fisiologica, , ,uuid:6036ee1e-1c91-4376-8afe-45cbc4eabfdf,uuid:6036ee1e-1c91-4376-8afe-45cbc4eabfdf/cultivo1[1]
Papa,cosecha,si, , , , , , ,10/04/21,20/04/21,madurez_comercial, , ,uuid:d081ce10-23a7-4dbe-aa86-7cec27cb5fac,uuid:d081ce10-23a7-4dbe-aa86-7cec27cb5fac/cultivo1[1]
